Id,Team 1,Team 2,Winner,Margin,win_by_run,win_by_wicket,Ground,Match Date,Scorecard
108,Sri Lanka,England,England,31 runs,31 runs,,Dambulla,13-Oct-18,ODI # 4053
109,Sri Lanka,England,England,7 wickets,,7 wickets,Pallekele,17-Oct-18,ODI # 4054
110,Sri Lanka,England,England,18 runs,18 runs,,Pallekele,20-Oct-18,ODI # 4055
111,India,West Indies,India,8 wickets,,8 wickets,Guwahati,21-Oct-18,ODI # 4056
112,Bangladesh,Zimbabwe,Bangladesh,28 runs,28 runs,,Dhaka,21-Oct-18,ODI # 4057
113,Sri Lanka,England,Sri Lanka,219 runs,219 runs,,Colombo (RPS),23-Oct-18,ODI # 4058
114,India,West Indies,tied,,,,Visakhapatnam,24-Oct-18,ODI # 4059
115,Bangladesh,Zimbabwe,Bangladesh,7 wickets,,7 wickets,Chattogram,24-Oct-18,ODI # 4060
116,Bangladesh,Zimbabwe,Bangladesh,7 wickets,,7 wickets,Chattogram,26-Oct-18,ODI # 4061
117,India,West Indies,West Indies,43 runs,43 runs,,Pune,27-Oct-18,ODI # 4062
118,India,West Indies,India,224 runs,224 runs,,Mumbai (BS),29-Oct-18,ODI # 4063
119,India,West Indies,India,9 wickets,,9 wickets,Thiruvananthapuram,1-Nov-18,ODI # 4064
120,Australia,South Africa,South Africa,6 wickets,,6 wickets,Perth,4-Nov-18,ODI # 4065
121,New Zealand,Pakistan,New Zealand,47 runs,47 runs,,Abu Dhabi,7-Nov-18,ODI # 4066
122,Australia,South Africa,Australia,7 runs,7 runs,,Adelaide,9-Nov-18,ODI # 4067
123,New Zealand,Pakistan,Pakistan,6 wickets,,6 wickets,Abu Dhabi,9-Nov-18,ODI # 4068
124,Australia,South Africa,South Africa,40 runs,40 runs,,Hobart,11-Nov-18,ODI # 4069
125,New Zealand,Pakistan,no result,,,,Dubai (DSC),11-Nov-18,ODI # 4070
126,Bangladesh,West Indies,Bangladesh,5 wickets,,5 wickets,Dhaka,9-Dec-18,ODI # 4071
127,Bangladesh,West Indies,West Indies,4 wickets,,4 wickets,Dhaka,11-Dec-18,ODI # 4072
128,Bangladesh,West Indies,Bangladesh,8 wickets,,8 wickets,Sylhet,14-Dec-18,ODI # 4073
